Thawte Code Signing CA - G2	06a164ec5978497741ee6cec9966871b	JOHN WILLIAM RICHARD	2013-10-30	2013-11-30	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	06d55ed513c9f0cd17ad587582ba1b57	Accel Consulting LLC	2014-12-19	2015-02-23	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	088251a29409cb8d555b325d728ce8a0	Suzhou Wendao Network Technology INC	2013-06-18	2013-06-18	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	0a77cf3ba49b64e6cbe5fb4a6a6aacc6	I.ST.SAN. Srl	2013-06-13	2013-06-20	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	0b7279068beb15ffe8060d2c56153c35	Guangzhou YuanLuo Technology Co.,Ltd	2012-10-22	2014-05-15	Round 2 deployment of SymVT revoked signers
DigiCert Assured ID Code Signing CA-1	0dfd80935dc2b12bbd8d93f63629e3d6	NS Autos	2012-12-09	2013-11-25	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2009-2 CA	0f82e2269ab12f70dd5a368ca61f77b3	Ctlh China Co.,Ltd	2009-07-22	2015-06-16	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	0fe7df6c4b9a33b83d04e23e98a77cce	PIXELPLUS CO., LTD.	2014-04-01	2015-02-05	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	13a691b148e6d8d0891f888e6605e0dd	Suzhen Zhou	2013-07-13	2014-10-21	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2009-2 CA	13c8351aece71c731158980f575f4133	Opera Software ASA	2013-06-19	2013-06-19	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	140d2c515e8ee9739bb5f1b2637dc478	Guangzhou YuanLuo Technology Co.,Ltd	2013-12-12	2014-07-23	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	1509157ae603a71a59fbff313bfae381	BLSoft Co.,Ltd	2014-03-12	2015-02-10	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2009-2 CA	17554DE160CAB90C5A1576D8480D5BE1	Chengdu Medusa Infomation Technology Co.,Ltd.	2011-12-09	2011-12-08	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	186379575a3146e26befc90a580d1bd2	WEBZEN INC	2012-11-09	2013-04-22	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	19ce1672107145e06fdc45fa2b753f0b	Xuzhou Chenji Technology Co.,Ltd	2012-06-15	2014-04-24	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA	1a35acce5b0c77206b1c3dc2a6a2417c	cd ingegneri associati srl	2012-02-01	2012-02-01	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2004 CA	1aa163ae3fc8d5359b4b0ce54ba8e56d	digiweb corporation	2011-12-08	2011-12-08	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	1ca48c9ab195dd3883aa9760336e75c0	EKSYS CORP	2013-10-23	2013-12-13	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	1d113f61b65cd3815f04f29073a68e05	hangzhou zhengjie information technology co.,ltd.	2013-01-04	2013-01-04	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	1ff7d864181c555e70cfdd3a5934c47d	OnAndOn Information System Co., Ltd.	2014-07-29	2015-01-20	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	20be615b9c56f97b0ffa3ea9711b19ad	C S S CORPORATIVO SISTEMAS E SOLUCOES LTDA ME	2014-08-12	2015-02-11	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	2276cf112e66695438f77590ae61944f	DOOBIC Co., Ltd.	2013-05-12	2013-05-17	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	2433d9df7efbccb870ee5904d62a0101	Conpavi AG	2011-12-08	2012-03-15	Round 2 deployment of SymVT revoked signers
